,time,c1,c2,c3,c4,p1,p2
0,143098,-1,-1,0,-1,1060,2019
1,223098,-1,4,0,-1,1060,2019
2,303083,-1,0,0,-2,1061,2019
3,383060,-1,0,0,-1,1060,2019
4,463078,0,0,0,-2,1060,2019
5,543073,0,-1,0,-1,1060,2019
6,623063,0,0,0,-2,1060,2019
7,703041,0,0,0,-1,1061,2019
8,783046,0,-1,0,-1,1061,2019
9,863045,1,2,0,-1,1061,2019
10,943047,1,-1,0,-1,1062,2019
11,1023055,0,0,0,-1,1062,2019
12,1103048,0,-1,0,-1,1061,2019
13,1183063,4,0,0,-1,1062,2019
14,1263068,4,-1,0,-1,1062,2019
15,1343403,8,0,0,-1,1063,2019
16,1423159,8,-1,0,-1,1063,2019
17,1503047,12,-2,0,-1,1064,2018
18,1583032,6,-1,0,-1,1064,2019
19,1663052,17,0,0,0,1064,2019
20,1743004,15,0,0,0,1064,2019
21,1823002,15,-5,0,-1,1064,2019
22,1902993,19,-3,0,-1,1064,2019
23,1982984,6,-1,0,-2,1065,2019
24,2063102,10,0,0,-2,1065,2019
25,2142999,18,-1,0,-2,1065,2019
26,2222968,16,-1,0,-2,1066,2019
27,2302974,16,-1,0,-2,1065,2019
28,2383022,20,-1,0,-2,1066,2019
29,2462982,21,-1,0,-2,1066,2019
30,2542957,22,-1,0,-2,1066,2019
31,2622941,22,-1,0,-2,1066,2019
32,2702949,24,-1,0,-2,1067,2019
33,2782962,22,-1,0,-2,1067,2019
34,2862948,28,-6,0,-2,1067,2019
35,2942942,27,-6,0,-2,1067,2019
36,3022947,4,-11,0,-2,1069,2019
37,3102933,10,2,0,-3,1070,2019
38,3182908,9,-1,0,-4,1070,2019
39,3262912,10,-1,0,-3,1070,2019
40,3342916,17,-1,0,-3,1070,2019
41,3422928,15,-1,0,-3,1071,2019
42,3502905,17,-1,0,-4,1071,2019
43,3582913,20,-1,0,-4,1071,2019
44,3662896,22,-1,0,-4,1071,2019
45,3742910,22,-1,0,-4,1071,2019
46,3822879,24,-1,0,-4,1071,2019
47,3902882,25,0,0,-4,1072,2019
48,3982880,24,-15,0,-4,1071,2019
49,4062910,12,-5,0,-4,1073,2019
50,4142864,7,-2,0,-4,1075,2019
51,4222878,0,0,0,-3,1075,2019
52,4302869,13,-1,0,-4,1075,2019
53,4382861,14,-1,0,-4,1075,2019
54,4462854,14,-1,0,-3,1075,2019
55,4542847,21,-1,0,-3,1075,2019
56,4622847,21,-1,0,-4,1075,2019
57,4702849,20,-1,0,-3,1075,2019
58,4782839,23,-1,0,-3,1076,2019
59,4862844,23,-1,0,-3,1076,2019
60,4942827,24,-1,0,-3,1076,2019
61,5022832,27,-6,0,-3,1076,2019
62,5102812,27,-12,0,-4,1076,2019
63,5182809,28,-5,0,-3,1076,2019
64,5262811,33,-7,0,-3,1076,2019
65,5342861,3,-21,0,-4,1079,2019
66,5422799,5,2,0,-4,1080,2019
67,5502800,14,-1,0,-3,1080,2019
68,5582800,14,-1,0,-4,1080,2019
69,5662801,15,-1,0,-6,1080,2019
70,5742790,19,-1,0,-3,1080,2019
71,5822781,21,-1,0,-4,1080,2019
72,5902783,17,-1,0,-4,1081,2019
73,5982771,22,-1,0,-3,1080,2019
74,6062765,24,-1,0,-4,1080,2019
75,6142771,22,0,0,-3,1081,2019
76,6222778,26,-8,0,-4,1081,2019
77,6302756,28,-6,0,-4,1081,2019
78,6382745,27,-5,0,-3,1081,2019
79,6462756,31,-12,0,-3,1081,2018
80,6542782,7,-12,0,-4,1084,2019
81,6622737,2,2,0,-5,1084,2019
82,6702727,16,-1,0,-4,1085,2019
83,6782734,17,-1,0,-4,1084,2019
84,6862734,16,-1,0,-3,1085,2019
85,6942708,21,-1,0,-3,1085,2019
86,7022737,23,-1,0,-3,1085,2019
87,7102715,22,-1,0,-4,1085,2019
88,7182732,23,-1,0,-6,1085,2019
89,7262730,26,-1,0,-3,1085,2019
90,7342694,27,0,0,-3,1085,2019
91,7422740,28,-17,0,-3,1086,2019
92,7502704,29,-5,0,-3,1086,2019
93,7582683,28,-7,0,-4,1085,2019
94,7662683,34,-13,0,-4,1086,2018
95,7742681,36,-21,0,-4,1086,2019
96,7822695,36,-6,0,-4,1086,2019
97,7902667,39,-14,0,-4,1086,2019
98,7982667,39,-12,0,-4,1086,2019
99,8062664,4,-12,0,-4,1090,2019
100,8142650,12,1,0,-3,1091,2019
101,8222644,14,-1,0,-3,1091,2019
102,8302648,14,-1,0,-3,1091,2019
103,8382647,16,-1,0,-5,1091,2019
104,8462666,19,-1,0,-4,1091,2019
105,8542633,24,-1,0,-3,1092,2019
106,8622643,27,0,0,-4,1091,2019
107,8702639,22,-17,0,-3,1092,2019
108,8782627,23,0,0,-4,1092,2019
109,8862617,26,-6,0,-3,1092,2019
110,8942615,28,-12,0,-3,1092,2019
111,9022641,27,-6,0,-4,1092,2019
112,9102617,29,-7,0,-4,1092,2019
113,9182601,28,-12,0,-4,1093,2019
114,9262596,28,-5,0,-4,1093,2019
115,9342617,36,-6,0,-4,1093,2019
116,9422585,8,-21,0,-3,1096,2019
117,9502576,6,1,0,-4,1097,2019
118,9582588,11,-1,0,-4,1097,2019
119,9662592,11,-1,0,-4,1097,2019
120,9742575,10,-1,0,-4,1097,2019
121,9822566,17,-1,0,-5,1098,2019
122,9902576,16,-1,0,-4,1098,2019
123,9982569,20,-1,0,-4,1098,2019
124,10062547,21,-1,0,-4,1098,2019
125,10142546,22,-1,0,-4,1098,2019
126,10222549,22,-1,0,-4,1098,2019
127,10302564,24,-1,0,-4,1098,2019
128,10382531,27,0,0,-4,1098,2019
129,10462542,26,-17,0,-4,1098,2018
130,10542545,26,-6,0,-4,1099,2019
131,10622533,8,-6,0,-4,1101,2019
132,10702513,14,-4,0,-4,1101,2019
133,10782512,20,-3,0,-3,1101,2019
134,10862518,15,-2,0,-3,1101,2019
135,10942516,16,-2,0,-4,1101,2019
136,11022503,22,-2,0,-4,1102,2019
137,11102494,22,-2,0,-4,1102,2019
138,11182498,23,-2,0,-3,1102,2019
139,11262494,28,-2,0,-3,1102,2019
140,11342496,29,-4,0,-3,1102,2019
141,11422475,27,-12,0,-4,1102,2019
142,11502487,31,-5,0,-4,1102,2019
143,11582488,32,-6,0,-3,1102,2019
144,11662473,31,-21,0,-3,1102,2019
145,11742459,37,-6,0,-3,1103,2019
146,11822469,39,-13,0,-3,1102,2019
147,11902453,1,-12,0,-4,1106,2019
148,11982446,10,0,0,-3,1107,2019
149,12062454,14,-2,0,-4,1107,2019
150,12142448,14,-2,0,-3,1107,2019
151,12222471,20,-2,0,-4,1107,2019
152,12302442,17,-2,0,-4,1107,2019
153,12382433,21,-2,0,-4,1108,2019
154,12462446,25,-2,0,-3,1108,2019
155,12542457,25,0,0,-4,1108,2019
156,12622416,23,-17,0,-4,1107,2019
157,12702415,25,0,0,-3,1108,2019
158,12782413,27,-13,0,-3,1108,2019
159,12862408,27,-6,0,-3,1108,2019
160,12942400,32,-6,0,-4,1108,2019
161,13022401,28,-22,0,-4,1109,2019
162,13102408,29,0,0,-4,1109,2019
163,13182380,34,-14,0,-4,1109,2018
164,13262378,9,-24,0,-4,1111,2019
165,13342381,11,1,0,-4,1112,2019
166,13422389,17,-2,0,-4,1113,2019
167,13502362,15,-2,0,-4,1112,2019
168,13582374,19,-2,0,-3,1113,2019
169,13662381,21,-2,0,-4,1112,2019
170,13742364,22,-2,0,-3,1113,2019
171,13822343,24,-2,0,-4,1113,2019
172,13902339,25,0,0,-4,1113,2019
173,13982362,26,-14,0,-4,1113,2019
174,14062353,26,-6,0,-4,1113,2019
175,14142328,30,-5,0,-4,1113,2019
176,14222340,31,-10,0,-3,1113,2019
177,14302340,30,-4,0,-3,1113,2019
178,14382333,37,-7,0,-3,1114,2019
179,14462315,37,-22,0,-3,1114,2019
180,14542318,38,-2,0,-3,1114,2019
181,14622315,38,-13,0,-3,1114,2019
182,14702324,39,-10,0,-3,1114,2019
183,14782296,39,-10,0,-3,1114,2019
184,14862297,18,-12,0,-4,1116,2019
185,14942303,4,-5,0,-3,1119,2019
186,15022299,1,0,0,-3,1120,2019
187,15102292,11,-1,0,-4,1120,2019
188,15182313,13,-2,0,-3,1120,2019
189,15262319,14,-2,0,-4,1120,2019
190,15342295,17,-2,0,-4,1120,2019
191,15422257,16,-2,0,-3,1121,2019
192,15502267,16,-2,0,-3,1121,2019
193,15582265,22,-2,0,-3,1121,2019
194,15662266,23,-2,0,-3,1121,2019
195,15742244,22,-2,0,-3,1121,2019
196,15822245,24,-2,0,-4,1121,2019
197,15902278,26,-6,0,-3,1121,2019
198,15982254,27,-12,0,-3,1121,2019
199,16062232,30,-5,0,-3,1121,2019
200,16142243,30,-6,0,-3,1122,2019
201,16222232,0,-13,0,-4,1124,2019
202,16302211,13,1,0,-4,1125,2019
203,16382213,14,-1,0,-4,1125,2019
204,16462213,14,-1,0,-4,1125,2019
205,16542227,19,-1,0,-4,1125,2019
206,16622191,20,-1,0,-4,1126,2019
207,16702200,21,-1,0,-4,1125,2019
208,16782194,25,-1,0,-3,1125,2019
209,16862196,23,0,0,-3,1126,2019
210,16942179,25,-9,0,-4,1126,2019
211,17022194,31,-6,0,-4,1126,2019
212,17102181,27,-6,0,-4,1126,2019
213,17182177,27,-13,0,-4,1126,2019
214,17262159,30,-5,0,-3,1127,2019
215,17342177,5,-6,0,-5,1129,2019
216,17422166,14,1,0,-4,1129,2019
217,17502162,21,-2,0,-5,1129,2019
218,17582164,18,-2,0,-4,1130,2019
219,17662154,17,-2,0,-4,1129,2019
220,17742156,23,-2,0,-5,1130,2019
221,17822145,22,-2,0,-4,1130,2019
222,17902139,22,-2,0,-3,1130,2019
223,17982127,25,-2,0,-3,1130,2019
224,18062130,26,-5,0,-4,1130,2019
225,18142129,26,-12,0,-3,1130,2019
226,18222107,32,-5,0,-4,1130,2019
227,18302115,31,-13,0,-3,1131,2019
228,18382122,29,-6,0,-4,1131,2019
229,18462118,34,-6,0,-3,1131,2019
230,18542105,2,-21,0,-6,1134,2019
231,18622100,13,1,0,-5,1134,2019
232,18702116,21,-2,0,-4,1134,2019
233,18782095,18,-2,0,-4,1134,2019
234,18862076,19,-2,0,-4,1135,2019
235,18942092,23,-2,0,-4,1135,2019
236,19022092,23,-2,0,-4,1134,2019
237,19102083,23,-2,0,-4,1135,2019
238,19182057,28,-2,0,-4,1135,2019
239,19262062,27,0,0,-4,1135,2019
240,19342056,27,-14,0,-3,1135,2019
241,19422064,31,-7,0,-3,1135,2019
242,19502042,17,-6,0,-4,1137,2019
243,19582049,10,-6,0,-4,1139,2019
244,19662059,16,-3,0,-4,1139,2019
245,19742038,17,-3,0,-6,1138,2019
246,19822027,15,-3,0,-4,1139,2019
247,19902032,20,-2,0,-3,1139,2019
248,19982032,22,-2,0,-4,1139,2019
249,20062017,22,-2,0,-3,1139,2019
